Key,Id,Shared Comments,Korean(ko),Korean(ko) Comments,English(en),English(en) Comments,Japanese (Japan)(ja-JP),Japanese (Japan)(ja-JP) Comments
Player_Name_0,323432337408,,메리골드,,Marigold,,マリーゴールド,
Player_Name_1,27644709163008,,페요테,,Peyote,,サボテン,
Player_Name_2,27644709163009,,테스트2,,Test2,,テスト2,
Player_Name_3,27644709163010,,테스트3,,Test3,,テスト3,
Player_Name_4,27644709163011,,테스트4,,Test4,,テスト4,
Player_Information_0,27644713357312,,정보 테스트 0,,Information_Test_0,,情報テスト0,
Player_Information_1,27644713357313,,정보 테스트 1,,Information_Test_1,,情報テスト1,
Player_Information_2,27644713357314,,정보 테스트 2,,Information_Test_2,,情報テスト2,
Player_Information_3,27644713357315,,정보 테스트 3,,Information_Test_3,,情報テスト3,
Player_Information_4,27644713357316,,정보 테스트 4,,Information_Test_4,,情報テスト4,
Train_Name_0,27644713357317,,엔진 기차,,Engine Train,,エンジン·トレイン,
Train_Name_1,27644713357318,,연료 기차,,Fuel Train,,燃料列車,
Train_Name_2,27644713357319,,의무실,,Medical Train,,メディカル·トレイン,
Train_Name_3,,,수동 포탑,,Manual Turret,,手動タレット,
Train_Name_4,,,연락실,,Contact Train,,連絡室,
Train_Name_51,27644713357320, ,포탑 전용 평판차,,Turret-Only Flat Car,,砲塔専用の平板車です,
Train_Name_52,27644713357321,,부스터 전용 평판차,,Booster-Only Flat Car,,ブースター専用平板車,
Train_Name_53,,,스피드존,,Speed zone,,スピードゾーン,
Train_Information_0,27644713357322,,기차를 운행하기 위해 필수적으로 필요한 엔진입니다.,,It is an essential engine to run a train.,,電車を運行するために不可欠なエンジンです。,
Train_Information_1,27644713357323,,기차를 운행하기 위해 필수적으로 필요한 화물차입니다. 연료가 담겨있습니다.,,It is an essential truck to run a train. It contains fuel.,,列車を運行するために不可欠な貨物車です。 燃料が詰まっています。,
Train_Information_2,27644713357324,,치료를 받을 수 있는 시설입니다. R키를 눌러 치료를 받을 수 있습니다.,,This is a facility where you can get treatment. You can press R to get treatment.,,治療を受けることができる施設です。 Rキーを押して治療を受けることができます。,
Train_Information_3,,,플레이어가 직접 포탑을 조종할 수 있는 포탑입니다. R키를 눌러 탑승 가능합니다.,,This is a turret that the player can control manually. You can board it by pressing the R key.,,プレイヤーが直接操作できるタレットです。Rキーを押すと搭乗できます。,
Train_Information_4,,,아이템 보급을 받기 위해 호출 할 수 있는 연락실입니다. R키를 눌러 호출 가능합니다.,,This is a contact room where you can call for item supplies. You can call by pressing the R key.,,アイテム補給を呼び出すための連絡室です。Rキーを押して呼び出せます。,
Train_Information_51,27644713357325,,포탑을 장착 할 수 있는 평판입니다.,,It is a flat plate that can be mounted with a turret.,,砲塔を装着できる評判です。,
Train_Information_52,27644713357326,,부스터를 장착 할 수 있는 평판입니다.,,It is a flat plate that can be equipped with a booster.,,ブースターを装着できる評判です。,
Train_Information_53,,,일시적으로 플레이어에게 스피드 버프를 받을 수 있는 기차입니다. R키를 눌러 스피드 버프를 받을 수 있습니다.,,This is a train that temporarily grants the player a speed buff. You can receive the speed buff by pressing the R key.,,一時的にプレイヤーにスピードバフを付与する列車です。Rキーを押してスピードバフを受け取れます。,
Train_Turret_Name_0,27644713357327,,자동 포탑,,Automatic Turret,,自動タレットです,
