Key,Id,Shared Comments,Korean(ko),Korean(ko) Comments,English(en),English(en) Comments,Japanese (Japan)(ja-JP),Japanese (Japan)(ja-JP) Comments
Item_Name_-1,14464362828910592,,비어있음,,Empty,,空,
Item_Name_0,19234345308160,,제세동기,,Defibrillator,,除細動器,
Item_Name_1,19234362085376,,반창고,,Band-Aid,,絆創膏,
Item_Name_2,19234362085377,,붕대,,Bandage,,包帯,
Item_Name_3,19234362085378,,작은 기름통,,Small Oil Can,,小さな油入れ,
Item_Name_4,19234362085379,,큰 기름통,,Large Oil Can,,大きな油入れ,
Item_Name_5,19234362085380,,작은 수리 키트,,Small Repair Kit,,小さな修理キット,
Item_Name_6,19234362085381,,큰 수리 키트,,Large Repair Kit,,大きな修理キット,
Item_Name_7,19234362085382,,레버,,Lever,,レバー,
Item_Name_8,19234362085383,,에너지 드링크,,Energy Drink,,エナジードリンク,
Item_Name_9,19234362085384,,아드레날린 주사기,,Adrenaline Syringe,,アドレナリン注射器,
Item_Name_10,19234362085385,,피로회복제,,Fatigue Remedy,,疲労回復剤,
Item_Name_11,19234362085386,,활력제,,Invigorating Agent,,活力剤,
Item_Name_12,19234362085387,,해독제,,Antidote,,解毒剤,
Item_Name_13,19234362085388,,폭탄 풍선,,Bomb Balloon,,爆弾風船,
Item_Name_14,19234362085389,,수배지,,Wanted Land,,手配紙,
Item_Name_15,19234362085390,,속도향상기,,Speed Booster,,スピードアップ器,
Item_Name_16,19234362085391,,비상식량,,Emergency Food,,非常食,
Item_Name_17,19234362085392,,약탈자 도감,,Predator's Book,,略奪者図鑑,
Item_Name_18,19234362085393,,클레이모어,,Claymore,,クレイモア,
Item_Name_19,19234362085394,,철조망,,Barbed Wire,,鉄条網,
Item_Name_20,19234362085395,,회복의 총알,,Recovery Bullet,,回復の銃弾,
Item_Name_21,19234362085396,,튕기는 총알,,Bouncing Bullet,,跳ね返り弾,
Item_Name_22,19234362085397,,불의 총알,,Bullet of Fire,,火の弾,
Item_Name_23,19234362085398,,단검,,Dagger,,短剣,
Item_Name_24,19234362085399,,공포의 깃발,,Flag of Terror,,恐怖の旗,
